,user_a,user_b
4936,Quê ở đâu ?,Nha Trang
4937,Ở chung hay ở riêng ?,Ở riêng
4938,Ở quận nào ?,Quận 8
4939,Đến trường xa không ?,10 phút thôi
4940,Nhà bạn ở miền nào?,Miền Trung nhá
4941,Bạn ở chung với bố mẹ hay bạn ở riêng?,Mình đi làm nên ở riêng rồi
4942,Cho mình xin địa chỉ đi bạn,Chi vậy bạn ?
4943,Quê bạn ở đâu?,Quê mình ở Bắc Giang
4944,Mày ở đâu?,ở Việt Nam
4945,Có sống chung với ba mẹ không?,có
4946,Gần nhà mày có gì?,có mát xa
4947,Nhà bạn ở đường nào?,gần nhà m
4948,Bạn ở đâu?,Quận 7
4949,Gia đình bạn ở đâu?,Quy Nhơn
4950,Ở với ai?,Gia đình
4951,Ở đâu?,"3xx đường Y Moal, phường Tân Lợi, TP.Buôn Ma Thuột, tỉnh ĐắkLắk"
4952,Miêu tả đường về nhà đi?,"Đường rộng thênh thang, nhiều quán trà sữa, ăn vặt. Đặc biệt là nhiều ninja, nhiều người mua đường và nhiều dân chơi."
4953,Quê bạn ở đâu?,Sài Gòn
4954,Bạn sống ở quận nào?,Tân Bình
4955,Bạn sống ở thành phố nào?,Thành phố Vũng Tàu
4956,Khu bạn sống có gần trung tâm không?,Mình ở ngay trung tâm luôn
4957,ở đâu?,"ở 380/81 Lê Văn Lương, rảnh ghé chơi."
4958,Quê ở đâu?,Tiền Giang
4959,Địa chỉ trường?,"số 2 đường Nguyễn Hữu Thọ, Quận 7"
4960,Ở đâu bán bún đậu ngon ?,Lê Văn Lương
4961,Bà nội m tên gì?,sao tôi nhớ được chứ .
4962,Nhà ở đâu ?,Trong tim Cún
4963,Đang ở đâu ?,ở Nhà
4964,Quê ở đâu ?,Long An
4965,Gia đình đang ở đâu ?,Long An
4966,Đang ở đâu ?,ở Nhà
4967,Quê ở đâu ?,Long An
4968,Gia đình đang ở đâu ?,Long An
4969,Đang ở đâu ?,ở Nhà
4970,Quê ở đâu ?,Long An
4971,Gia đình đang ở đâu ?,Long An
4972,Nhà ở đâu?,ở đây
4973,Ba khỏe?,khỏe
4974,Mẹ khỏa?,Khỏe
4975,Gần nhà có gì?,Nhà hàng xóm
4976,Đường nào?,Đường xích đạo
4977,Hiện tại bạn sống ở đâu?,chi
4978,Bạn có ở gần chợ không?,gần
4979,Từ nhà bạn tới trường bao xa?,3km
4980,Nơi ở của bạn có nhiều tệ nạn?,có
4981,Bạn sống chung với gia đình hay ở quê lên?,chung
4982,bạn đang sống ở bang nào?,Texas
4983,Bạn có ở chung với gia đình không?,không
4984,bạn đang ở xa gia đình à?,đúng
4985,bạn tính xây nhà ở đâu?,Việt Nam
4986,Nổ địa chỉ nhà mày?,Tân Bình hẻm 48 bùi thị xuân.
4987,Mày có chị em gái không?,"Có nhiều lắm , rất xinh nữa."
4988,Nhà mày mấy người?,Nhiều lắm kể ko hết.
4989,ở đâu vậy?,hcm
4990,bạn ăn bám à?,yup
4991,địa chỉ là gì?,hông nói
4992,đang ở thành phố à?,yup
4993,Sống ở đâu?,dữ liệu cá nhân
4994,Nơi ở thoải mái không?,yes
4995,Từ nhà tới trường xa không?,xa
4996,Nơi ở có gì thú vị không?,nothing
4997,Sống chung hay tự lập?,tự lập là dở rồi
4998,Nhà bạn ở đâu?,dữ liệu cá nhân xin lỗi không thể tiết lộ
4999,Có muốn thử đến chỗ khác sống không?,tại sao là muốn chứ
5000,Mày ở đâu?,ở nhà
5001,Ba má sao?,Lành lặn
5002,Quê mày ở đâu?,Tò mò ?
5003,Gần nhà mày có gì?,Quán net
5004,Nhà mày đường nào?,Nguyễn Thị Tần
5005,quốc ca nước mình tên gì mày ?,tiến quân ca
5006,nước mình có chổ nào đẹp không ?,nhiều
5007,chổ nào ?,"Vịnh Hạ Long, Hội An ,..."
5008,ai đang là chủ tịch nước vậy ?,ai biết
5009,Bạn thích nơi nào nhất ở Việt Nam.,Vũng Tàu
5010,Vì sao bạn thích nơi đó?,Vì ở đó tôi có thể tắm biển.
5011,Bạn có muốn đi Đà Nẵng không?,Tôi rất thích đi Đà Nẵng vào những ngày nắng đẹp
5012,Tại sao thích đi Hà Nội?,Vì Hà Nội có H.
5013,Quê bạn là ở đâu?,Thái Bình
5014,quê ở đâu,thành phố Hồ Chí Minh
5015,ở đất nước nào,Việt Nam
5016,quê có phải ở miền bắc,không
5017,quê có phải ở miền trung,không
5018,quê có phải ở miền nam,phải
5019,Bạn yêu nước chứ?,Có.
5020,Quê hương bạn có gì?,Núi và sông.
5021,Đất nước bạn đẹp không?,Đẹp.
5022,Bạn yêu nước chứ?,Có.
5023,Quê hương bạn có gì?,Núi và sông.
5024,Đất nước bạn đẹp không?,Đẹp.
5025,Bạn thích nơi nào nhất ở Việt Nam.,SaPa
5026,Vì sao bạn thích nơi đó?,Vì ở đó tôi có thể thấy tuyết rơi.
5027,Bạn có muốn đi Đà Nẵng không?,Tôi rất thích đi Đà Nẵng vào những ngày nắng đẹp
5028,Tại sao thích đi Hà Nội?,Vì Hà Nội có H.
5029,Quê bạn là ở đâu?,Ninh Thuận
5030,Quê bạn có trái cây đặc sản là gì?,Trái nho nhé.
5031,ừ đúng rồi mày,t nghe nói Quảng Nam có món gì mì mì đó phải không
5032,Mì Quảng mày,à đúng rồi
5033,ừ mày,ở đó có chi chơi không
5034,dẫn mày đi chơi mệt nghỉ luôn cũng được.,"haha, gì dữ vậy"
5035,Bạn yêu nước chứ?,Có.
5036,Quê hương bạn có gì?,Dừa và sông.
5037,Đất nước bạn đẹp không?,Đẹp.
5038,VietNam có gì đẹp ?,có rất nhiều
5039,VietNam hiện như thế nào rồi ?,đang bị virus lại
5040,thế tình hình ổn chưa ?,chưa biết
5041,Người dân vietnam có đông lòng phòng chống dịch không ?,có chứ
5042,Nhân dân vietnam có đón tiếp khách nước ngoài ra sao ?,rất thân thiện
5043,đất nước vietnam rất đẹp đúng không ?,đúng vậy
5044,quê ở đâu vậy mày?,quê ở Tiền Giang
5045,ở quê có gì đặc sắc không?,"có đồ ăn, lúc nào cũng có đồ ăn"
5046,có hay về quê không?,"có tết với các kì nghỉ dài như 30-4,1-5 là có về quê á"
5047,Quê mày đâu ?,Phú Yên
5048,Việt Nam đẹp không ?,Đẹp
5049,Về quê tao không ?,Ok về
5050,VN nhiêu tỉnh ?,63 tỉnh
5051,Ở đâu đẹp mày ?,Đà nẵng
5052,Đại hội Đảng vừa rồi mày có xem không?,Có mày
5053,Năm nay làm hoành tráng vãi,Ừa mày
5054,nước mình có chỗ nào đi ngắm cảnh đẹp không?,có ở vịnh hạ long nè
5055,quê hương đẹp không?,đẹp
5056,mày quê đâu?,Nghệ An
5057,Từ đây về đó xa không?,khoảng 1500km
5058,mày đi gì về?,máy bay
5059,quê có đặc sản gì không?,"miến lươn, kẹo cu đơ, khoai xéo,..."
5060,Quê có địa điểm nổi tiếng không?,"Cửa lò, Quảng trường HCM, Quê Bác"
5061,về quê tao chơi không?,được
5062,ở đâu?,Đồng Tháp
5063,khi nào đi?,tháng 6 này
5064,còn ai không?,10 đứa nữa
5065,đi bằng gì?,xe máy
5066,tập hợp ở đâu?,nhà tao
5067,Đại hội Đảng vừa rồi mày có xem không?,Có mày
5068,Năm nay làm hoành tráng vãi,Ừa mày
5069,mày quê ở đâu,Hà Nội
5070,quê mày có gì vui,bún chả
5071,quê m ở đâu ?,bình thuận
5072,ở đó có đặc sản gì không ?,có chứ
5073,đặc sản là gì ?,hải sản
5074,còn gì khác không ?,thanh long
5075,quê m có nhiều điểm du lịch không ?,nhiều
5076,những điểm du lịch nổi tiếng ở quê m là gì ?,"phan thiết, mũi né, bàu trắng"
5077,Mày yêu nước không?,Yêu chứ
5078,Mày sẽ làm gì để đất nước đỡ gánh nặng?,Học thôi
5079,Quê mày đâu Sơn?,"Long Xuyên, An Giang."
5080,Có gì chơi?,"Leo đồi, leo núi."
5081,Có gì mà không vận động không?,Hình như không
5082,Còn không thì đi Chùa Bà?,Nghe cũng được.
5083,nước nào nhỏ nhất?,khó à nha
5084,nước nào đồng dân nhất?,TQ
5085,nước nào giàu nhất?,nước mỹ
5086,nước nhiều rộng nhất?,nga
5087,nước nào ngọt nhất?,nước đường
5088,nước nào dân hiền nhất?,VN
5089,bạn muốn đi nước nào nhất?,England
5090,bạn muốn ăn gì ở VN?,thịt chó
5091,bạn thích bún đậu mắm tôm không?,có chứ bay
5092,bạn thích mấy người ae DUBAI không?,"hihi, họ chơi rất được"
5093,Bạn ở nước nào?,Việt Nam
5094,Quê ở đâu?,Vĩnh Long
5095,Có danh lam thắng cảnh nào không?,Vĩnh Hạ Long
5096,Vậy Vĩnh Long có khu du lịch nào không?,Khu du lịch Vinh Sang
5097,Quê mày ở đâu Quang?,Quê tao ở tp Hồ Chí Minh.
5098,tp Hồ Chí Minh thì là quê cái gì?,Vậy thì tao không có quê chịu chưa?
5099,có yêu nước không?,dĩ nhiên
5100,nghĩ gì về người Việt Nam?,quá chi là thân thiện
5101,nghĩ sao về Việt Nam?,tổ quốc thân thương
5102,có tự hào vì là người Việt?,rất tự hào
5103,nghĩ gì về nước mình?,rất xinh đẹp
5104,Quê quán?,Trung Quốc
5105,Dân số?,"1,398 tỷ"
5106,Thời tiết?,4 mùa quanh năm
5107,Tính về không?,Chưa biết
5108,Người thân bên đó?,Có
5109,đến từ đâu?,Việt Nam
5110,ngôn ngữ?,tiến việt
5111,quê đâu?,Ninh Thuận
5112,đến từ đâu?,Việt Nam
5113,ngôn ngữ?,Việt
5114,quê đâu?,Quảng Bình
5115,bạn sống ở đâu,Thành Phố HCM
5116,quận mấy,Bình Tân - bò nhiều hơn dân
5117,Ở đó vui không,Vui
5118,Bữa nào cho qua chơi,Ok
5119,Tao đem mồi nhậu,Còn tao mua bia
5120,Bạn quê ở đâu ?,Bắc ninh
5121,Quê bạn ở nước nào ?,Việt Nam
5122,Quê bạn có đặc sản gì ?,Không có
5123,Có di sản văn hóa gì ?,Quan họ
5124,Nằm ở miền nào ?,Bắc
5125,Hạ Long đẹp không?,Đẹp lắm mày.
5126,Đi Hạ Long chưa?,Rồi.
5127,Ngoài Hà Nội thế nào?,Dạo này khá lạnh.
5128,Miền Trung sao rồi?,Đang ổn định lại
5129,Covid thế nào rồi?,Mới phát hiện vài ca
5130,Đặc sản Bến Tre?,Dừa. Kẹo dừa.
5131,Đi Hà Nội ăn gì?,Phở là ngon nhất.
5132,Giỗ tổ khi nào?,Mùng 10 tháng 3
5133,Bạn ở nước nào?,Việt Nam
5134,Ở miền nào?,Miền Nam
5135,Thành phố nào?,HCM
5136,Quận mấy?,Quận 7
5137,Đặc sản là gì?,Phở bò
5138,Quê có gì vui không ?,Không
5139,Quê ở đâu ?,Bến tre
5140,bao giờ về quê ?,Tết
5141,người sài gòn à ?,ừ
5142,Bạn không có quê ?,người thành phố
5143,Bạn quê ở đâu ?,Bắc ninh
5144,Quê bạn ở nước nào ?,Việt Nam
5145,Quê bạn có đặc sản gì ?,Không có
5146,Có di sản văn hóa gì ?,Quan họ
5147,Nằm ở miền nào ?,Bắc
5148,quê mày ở đâu vậy?,Đồng Nai
5149,về quê mày thích làm gì?,nhiều không kể hết
5150,mày thích gì ở quê?,vườn cây và người thân
5151,có gì đặc biệt ở quê?,lô cao su và núi đá
5152,Đồng Nai thì có con nai nào không?,không
5153,Bạn có biết Hoàng Sa và Trường Sa là của ai không?,Việt Nam
5154,Tây Ninh của bạn có đặc sản là gì?,Muối và bánh tráng
5155,Quốc hoa của nước Việt Nam mình là gì?,Hoa Sen
5156,Quê bạn đang sống có anh hùng nào đã cống hiến mình cho đất nước?,Cụ Lương Văn Chánh
5157,Nơi bạn sống có chổ nào nổi tiếng không?,"Tràm chim, Lăng cụ Phó Bản Nguyễn Sinh Sắc, Tháp Mười."
5158,Mai về quê ăn Tết à?,"Ừ, mai tao về Huế"
5159,Huế có gì nổi tiếng không ?,Có vài món đặc sản và địa điểm du lịch
5160,Đặc sản gì thế ?,"Nem lụi Huế, vả trộn, tré Huế, và các loại bánh như bánh bèo, bánh bột lọc, bánh nậm"
5161,Có những điểm tham quan du lịch nào vậy ?,"Kinh thành Huế, chùa Thiên Mụ,..."
5162,Nào rủ đám mình về quê với mày chung cho biết ha?,"Được, tao dẫn đi chơi cho biết"
5163,Mày quê ở đâu,Đắk Lắk
5164,Gia đình mày ở đâu?,Đắk Lắk luôn
5165,Quốc tịch mày là gì?,Việt Nam nhé
5166,Mày lên sài gòn khi nào?,năm 2017
5167,mày nhớ nhà không?,có
5168,mày quê ở đâu,Quảng Ngãi
5169,quê mày có gì đẹp không?,nhiều lắm
5170,quê mày có món gì ngon?,don
5171,mày về đó bao xa?,tầm 900km
5172,đi mất bao lâu?,tầm 15 tiếng đồng hồ
5173,Mày quê ở đâu?,Nghệ An
5174,Quê mày có gì đẹp không?,Có đồng ruộng à
5175,Quê mày có món gì đặc sản?,Cu đơ
5176,Mày về đó bao xa?,Xa lắm
5177,đi mất bao lâu?,Đi tàu 2 ngày đấy
5178,Mày đến từ đâu?,Việt Nam
5179,Châu lục nào?,Châu Á
5180,Mày ở miền nào?,Miền Nam
5181,Có gì đặc sắc không?,Có
5182,Có đặc sản gì không?,Nhiều gái đẹp
5183,Thật chứ,Thật
5184,Mai về quê ăn Tết à?,"Ừ, mai tao về Huế"
5185,Huế có gì nổi tiếng không ?,Có vài món đặc sản và địa điểm du lịch
5186,Đặc sản gì thế ?,"Nem lụi Huế, vả trộn, tré Huế, và các loại bánh như bánh bèo, bánh bột lọc, bánh nậm"
5187,Có những điểm tham quan du lịch nào vậy ?,"Kinh thành Huế, chùa Thiên Mụ,..."
5188,Nào rủ đám mình về quê với mày chung cho biết ha?,"Được, tao dẫn đi chơi cho biết"
5189,Quê mày có gì chơi không?,Săn bắt hái lượm
5190,Có địa điểm du lịch nào không?,Núi Bà Rá
5191,Mày quê ở đâu,Bình Định
5192,Thế có về quê không,Có chứ
5193,Quê mày ở đâu,Bình Dương
5194,Tết có về quê không?,Về chứ sao không
5195,quê mầy ở đâu?,Tiền Giang
5196,có gì nổi tiếng không?,đi không hết ấy chứ
5197,dẫn tao đi nhe?,đi được thì cứ alo
5198,ở miền tây hả?,chính xác
5199,vậy chắc đồng ruộng nhiều?,"ừm, có cả biển nữa"
5200,hải sản nhiều không?,ăn ngập mặt
5201,Bạn quê ở đâu ?,Bắc ninh
5202,Quê bạn ở nước nào ?,Việt Nam
5203,Quê bạn có đặc sản gì ?,Không có
5204,Có di sản văn hóa gì ?,Quan họ
5205,Nằm ở miền nào ?,Bắc
5206,thích ở thành phố hay quê ?,cả hai
5207,thích gì ở quê ?,gần gia đình
5208,thích gì ở thành phố,năng động hơn
5209,đã du lịch ở đâu Việt Nam ?,Phan Thiết và Đà Lạt
5210,trải nghiệm ở Đà Lạt,"mát mẻ, yên tĩnh"
5211,trải nghiệm ở Phan Thiết,cái nóng của phố biển
5212,quê mày ở đâu?,Hà Tây
5213,your country?,VietNam
5214,quê mày có gì đẹp để đi chơi không?,Hồ Hoàn Kiếm hay là chợ đêm Hà Nội
5215,quê mày có phố đi bộ không?,có
5216,quê mày có gần danh lam thắng cảnh nào không?,Vịnh Hạ Long
5217,Quê bạn đã nên xã chưa hay vẫn là thôn ?,Đã lên xã
5218,Bạn có yêu nước không ?,có chứ
5219,Bạn thích điều gì ở nước mình ?,Tinh thần yêu nước
5220,Có hay xem tin tức về đất nước mình không ?,Có
5221,quê mày ở đâu vậy,cần giờ
5222,quê bạn đẹp không?,quê mình đẹp lắm
5223,đất nước mình thật đẹp?,uhm đúng vậy
5224,Việt Nam vô địch,Việt Nam Hồ Chí Minh
5225,về quê tao không?,ok mày chở nha
5226,bạn lớn lên ở đâu,Ninh bình
5227,bạn có yêu quê hương không,yêu nhiều
5228,Quốc tịch của bạn là gì,VIệt nam
5229,diện tích việt nam bao nhiêu,331.212 km²
5230,dân số việt nam là bao nhiêu,91 triệu
5231,đặc sản quê mày là gì,thịt dê cơm cháy
5232,phở ở đâu ngon nhất,Hà Nội
5233,đặc sản chỗ cậu là gì?,cua
5234,quê có cảnh đẹp gì?,Rừng sát
5235,Bạn quê ở đâu ?,Bắc ninh
5236,Quê bạn ở nước nào ?,Việt Nam
5237,Quê bạn có đặc sản gì ?,Không có
5238,Có di sản văn hóa gì ?,Quan họ
5239,Nằm ở miền nào ?,Bắc
5240,Mẹ và người yêu chọn ai?,Mẹ
5241,Tao đẹp không?,Còn phải hỏi
5242,Chọn gà hay trứng,Chọn mày
5243,Nước suối nhiêu tiền 1 chai,Không cần biết
5244,Một con gà vịt xoè ra mấy cái cánh?,2
5245,"Cái bàn gì khi đứng thì nằm, khi nằm thì đứng?",bàn chân
5246,Chim gì không biết hót?,chim nướng
5247,Ai là người phát minh ra bánh xe?,không biết
5248,Làm gì để nhanh giàu?,tôi có giàu đâu mà hỏi
5249,Ăn cơm chưa,Chưa
5250,Giờ  ăn gì đây ?,Gì cũng được
5251,Đi đâu bây giờ ?,Đâu cũng được
5252,Hôm nay ăn gì ?,Muốn ăn gì thì ăn
5253,Mày thích ăn cua ở Đà Lạt hay đi Phú Quốc uống rượu sim?,thích đi Nha Trang ăn bún sứa
5254,Ra bến xe miền Đông bắt xe đi Hong Kong chơi?,đồng ý luôn
5255,"Thích ăn bánh mì hay hủ tiếu mì, tí dẫn ra cầu Thị Nghè ăn nè?",tao thích ăn hủ tiếu mì nhưng ra cầu Kênh Tẻ ăn đi.
5256,Mai chạy bộ rồi làm tí cafe ei?,đi cafe nhưng đừng chạy bộ
5257,Tối bơi xong đi ăn lẩu dê hay lẩu bò?,tao thích lẩu cá kèo hơn
5258,"Làm bài CTDLGT chưa, còn PTTKYC nữa?",chưa làm cái nào hết
5259,Ê nào xong bài gửi tao?,tao còn đang tìm người làm rồi
5260,Chán cơm thèm phở hay chán phở thèm cơm?,"chán cơm thèm hủ tiếu, tao không thích phở"
5261,Thích thì đi chơi mà không thích thì đi không?,đi luôn
5262,"Ngày hôm nay ta hợp hoan nhau nơi đây, yeah, ra cầu Kênh Tẻ ăn bò né ei?","ở đấy có cháo ếch thôi, nhưng cũng đi ăn đi."
5263,tại sao trên cây có 2 con chim mà 1 con thì gọi là chim còn con kia không được gọi là chim?,vì một con là con chim còn một con là con bò
5264,"ông còn học đh phải hong, zay ông đã đi làm gì chưa á?",tui còn học đồng thời còn phụ bán hàng ở nhà
5265,ông có thích cái ngành mà ông học hay hong? Hay ông thấy nó đang trend nên ông học thôi á?,tui thích ngành này học vì nó là đam mê
5266,đi chơi zới gđinh so zới đi chơi zới bạn bè thì ông nghĩ là ông thích cái nào nhất zay?,"đi chơi với gd thì không lo nghĩ về tiền bạc và được yêu thương. còn đi với bạn bè thì vui vẻ, được tán gẫu về mọi thứ"
5267,Machine learning là gì?,Là học máy
5268,Phân biệt Machine Learning và AI?,ML là 1 mảng chỉ của AI
5269,"nay sao, muốn làm gì?","như cớt, t muốn đi ngủ liền."
5270,"""What"" là cái gì?",Là gi ai biết
5271,con gà có trước hay quả trứng có trước?,Khủng long có trước
5272,1+1 có thể bằng 3 không?,Không trả lời
5273,Fe hóa trị mấy?,"Hóa 0 điểm, đừng hỏi"
5274,1 byte bằng mấy bit?,8-bit
5275,"Cái gì thuộc về bạn, nhưng lại được gia đình và bạn bè của bạn dùng nhiều hơn chính bạn?",cái tên hjhjhj :)))) i zì game
5276,"Cái gì mà bạn ném đi khi bạn muốn dùng, và bạn nhặt lại khi không muốn dùng nữa?",chắc là cái neo :v
5277,mày đang làm gì với con bồ tao đấy? cắm sừng tao à?,bố mày dí buồi nói
5278,"Cuộc sống em ổn không, có giống em hi vọng?",Ổn. Mỗi tội phải mơ nó mới ổn thôi
5279,Bạn có nghĩ rằng trận đấu tối qua hay hơn hay trận đấu này hay hơn?,Tao có nhớ gì đâu
5280,Con ngựa đá con ngựa đá là con ngựa đá hay là con ngựa đá con ngựa đá?,Cái nào chả đúng. Mày bị dở người à?
5281,mày thích sống chung với gia đình hay thích sống riêng ? Vì sao ?,ở riêng vì tao thích tự do
5282,mẫu người yêu lí tưởng của mày là gì ?,"đẹp, hiền, ngoan là được"
5283,khái niệm về tình yêu của mày là gì ?,là 1 thứ xa xỉ mà có tiền là có tất cả
5284,"Tại sao chú bán dầu qua cầu mà té . Chú bán ếch ở lại làm chi . Tại sao con le le đánh trống thổi kèn , tại sao con bìm bịp thổi tò tí te tò te ?",Tại sao mày hỏi ngu ngốc vậy ? Tại nhạc sĩ ổng viết vậy chứ sao
5285,"Cậu tên gì thế , nhà ở đâu , có bồ chưa?","Tớ tên Tùng , nhà tớ ở Green way coffee khu dân cư Kim Sơn , tớ đang có 1 chị gái mưa."
5286,Cậu thích đi ô tô hay lái máy bay  ?,Tớ thích lái cậu.
5287,"Cậu thích ăn gì , vỉa hè hay bờ hồ ?",Tớ hay ăn ở vỉa hè gần nhà.
5288,"Cậu đi xe gì , chứa được bao nhiêu xăng?","Tớ đi xe bò , cột được 4 con bò."
5289,"Cậu tên gì thế , nhà ở đâu , có bồ chưa?","Tớ tên Tùng , nhà tớ ở Green way coffee khu dân cư Kim Sơn , tớ đang có 1 chị gái mưa."
5290,Cậu thích đi ô tô hay lái máy bay  ?,Tớ thích lái cậu.
5291,"Cậu thích ăn gì , vỉa hè hay bờ hồ ?",Tớ hay ăn ở vỉa hè gần nhà.
5292,"Cậu đi xe gì , chứa được bao nhiêu xăng?","Tớ đi xe bò , cột được 4 con bò."
5293,"Năm nay bao nhiêu tuổi , bao nhiêu tháng, bao nhiêu ngày?",tao không biết
5294,"Cầu thủ này tên gì thuộc đội bóng nào, tham gia bao nhiêu clb rồi ?",tao không biết
5295,Hình tròn có 4 góc vuông là hình gì?,mày khùng rồi
5296,5 cách tính diện tích tam giác?,mày khùng rồi
5297,Hình elip phải hình tròn không?,trái đất là hình elip mà
5298,"Năm nay bao nhiêu tuổi , bao nhiêu tháng, bao nhiêu ngày?",tao không biết
5299,"Cầu thủ này tên gì thuộc đội bóng nào, tham gia bao nhiêu clb rồi ?",tao không biết
5300,Hình tròn có 4 góc vuông là hình gì?,mày khùng rồi
5301,5 cách tính diện tích tam giác?,mày khùng rồi
5302,Hình elip phải hình tròn không?,trái đất là hình elip mà
5303,Tam giác vuông thì góc nào là 180 độ ?,Điên à ?
5304,Hình tròn có bao nhiêu góc vuông ?,?????
5305,Vũ trụ có hình gì ?,???????????
5306,Đang đâu?,Nhà chi
5307,"Năm nay bao nhiêu tuổi , bao nhiêu tháng, bao nhiêu ngày?",tao không biết
5308,Mày uống quá chén bao giờ chưa ?,tao không biết say
5309,Mày biết chơi đồ không?,Biết
5310,"ông còn học đại học phải hong, thế ông có đi làm thêm bên ngoài chưa?",tui vừa đi học vừa làm linh tinh bên ngoài đây nè
5311,Giá trị thặng dư là gì? Có mấy loại? là loại nào?,"Giá trị thặng dư tư bản chủ nghĩa (m) là một phần giá trị mới do lao động sống tạo thêm ra ngoài giá trị hàng hoá sức lao động, là lao động không được trả công của người lao động làm thuê. Có 2 loại là giá trị thặng dư tương đối và giá trị thặng dư tuyệt đối."
5312,Tiền tệ là gì? Các chức năng của tiền tệ?,"Tiền tệ là thước đo giá trị, dùng để đo lường giá trị của các loại hàng hóa.Chức năng của tiền tệ là: trao đổi, phương tiện thanh toán, tích lũy."
5313,"Trong series phim Avengers, bạn thích ai nhất? Ghét ai nhất? Theo bạn tại sao nhiều người thích xem phim này?",thích nhất là Iron Man. Không ghét ai cả. Tại vì cốt truyện
5314,"Hãy nêu cảm nhận của bạn về đoạn văn sau: ""Chúng ta của hiện tại. Em dành cả thanh xuân cho anh. Anh dành cả thanh xuân cho em. Chúng ta dành cả thanh xuân cho nhau. Mà không hề nghĩ suy. Gặp nhau là duyên phận. Xa nhau cũng là hai từ duyên phận. Chẳng ai biết trước tương lai sau này. Dù sau này có nhau hay không thể bên nhau. Cũng đừng quên rằng. Chúng ta đã từng dành tất cả những điều tuyệt vời nhất cho nhau. Thương em""","Lươn lẹo, tuy cảm động nhưng không chân thật"
5315,Bạn có bị cắm sừng chưa? Theo bạn cảm giác đó như thế nào? Bạn sẽ làm gì với người cắm sừng bạn?,Chưa. Cảm giác đó đau. Không biết làm gì
5316,Tết này bạn tính đi đâu du lịch? Có gầy sòng không? Bạn ước tính năm nay thu nhập có ổn không?,Nha Trang. Gầy chứ. Thu nhập không ổn
5317,Bạn thích đi Đà Lạt không? Hãy miêu tả nước Việt Nam? Bạn đã từng đi du lịch nước ngoài chưa?,Thích. Xinh đẹp. Rồi ạ
5318,"Theo bạn chơi game hay chơi đùa tình cảm, cái nào vui hơn? Tại sao?",Chơi game. Tại vì nó giải trí
5319,Hôm nay trời có mưa thì bạn có muốn đi học không?,Chắc chắn rồi
5320,Người yêu bạn là nam hay nữ,chắc chắn là nữ
5321,"Người yêu mới của người yêu cũ, là người yêu cũ của người yêu mới của tao, mà giờ người yêu cũ của tao đang chơi chung với người yêu mới của tao. Tao nên làm gì ?",Mày lên làm thinh đi
5322,Người yêu mới đẹp hơn hay người yêu cũ đẹp hơn ?,Đẹp như nhau cả
5323,"Người yêu mới của người yêu cũ, là người yêu cũ của người yêu mới của tao, mà giờ người yêu cũ của tao đang chơi chung với người yêu mới của tao. Tao nên làm gì ?",Mày lên làm thinh đi
5324,Người yêu mới đẹp hơn hay người yêu cũ đẹp hơn ?,Đẹp như nhau cả
5325,"Người yêu mới của người yêu cũ, là người yêu cũ của người yêu mới của tao, mà giờ người yêu cũ của tao đang chơi chung với người yêu mới của tao. Tao nên làm gì ?",Mày lên làm thinh đi
5326,Người yêu mới đẹp hơn hay người yêu cũ đẹp hơn ?,Đẹp như nhau cả
5327,X + 1 = 2 thì Hidro hóa trị mấy ?,"1, ngu"
5328,"Nếu 1 = 5, 2 = 10 vậy 5 = mấy?",5
5329,Hình tròn có 2 cạnh song song là hình gì?,Hả ?
5330,Diện tích Tam giác có 2 góc vuông ?,Điên hả
5331,Trái đất tròn hay méo?,Trái đất là hình phẳng
5332,"Cậu tên gì thế , nhà ở đâu , có bồ chưa?",éo trl.
5333,Cậu thích đi ô tô hay lái máy bay  ?,Tớ thích lái cậu.
5334,"Cậu thích ăn gì , vỉa hè hay bờ hồ ?",ăn cậu.
5335,"Cậu đi xe gì , chứa được bao nhiêu xăng?",Đi limo
5336,chào bạn làm quen nha . cho mình hỏi nha ? bạn tên gì ? học ngành gì ?,không
5337,Tự nhiên mình muốn đi chơi quá. Có ai đi cùng không? chiều nay 16h00 tập chung đi chơi nhớ đúng giờ.,không
5338,"chào bạn  , cho mình làm quen? bạn tên gì ? nhà ở đâu ? nhiêu tuổi?",không
5339,"em bận rồi ,lần này em vắng nha? em sẽ bù sau được không?",không
5340,Con gà có trước hay trứng có trước ? nếu gà có trước hãy chứng mình nếu không đồng ý hãy trả lời vì sao bạn phản đối ?,không
5341,"Chiến thắng Điện Biên Phủ vào ngày, tháng, năm nào? Ai là người trực tiếp chỉ huy?","Năm một chín hồi đó, người đứng đầu chỉ huy"
5342,"Trước khi gọi điện thoại, bạn có bao giờ sắp xếp lại những gì mình định nói không? Tại sao?","Không, nhớ gì nói đó"
5343,Quả trứng có trước hay con gà có trước?,Con trứng gà
5344,Người ta sẽ phải làm như thế nào để có để đọc từ “Bắp” mà không phải bặm môi lại?,Ngặm ngón tay vào
5345,"Sương gió phủ đời trai , tương lai nhờ …., bạn có thể điền vào chỗ ...?",Nhà vợ
5346,Khi bất lực trong cuộc sống bạn thường làm gì ở đâu?,Đi ngủ
5347,Khi bạn gặp trẻ trâu quá nhiều bạn thường làm gì để không bị cay ngoài việc uống sữa?,Kệ nó luôn
5348,Bạn có hay gặp đồng đội feed hay không nếu có bạn có xiên nó ngay hay không?,Có và có
